"lCompanyID","CompanyName","StreetAddress","Trifecta","ShopStatus","strInstallationKey","TenantID","ExternalID","SMS","lCommunityID"
C7926CEC-8A7D-4E02-B1C9-2250A3FBB0B3,Christian Brothers Automotive—Acworth,3408 Cobb Pkwy NW,ROWriter-UD-81371,Offline,51137444-7DD7-4D0D-AF12-90AC3E0CA35E,,81371,ROWriter,UD
C79570E9-3589-4C00-B692-FEE686CA0D2A,Murray Motive,3918 Tampa Rd,ManagerSE-UD-58058,Offline,7D2B8FC6-7C3A-4E6B-8360-AEF2BF337F49,,58058,ManagerSE,UD
C79570E9-3589-4C00-B692-FEE686CA0D2A,Murray Motive,3918 Tampa Rd,ManagerSE-UD-7058058,Offline,7D2B8FC6-7C3A-4E6B-8360-AEF2BF337F49,,7058058,ManagerSE,UD
C799BC84-7DC3-4A33-BE3C-DA17B9EE6562,Toy Doctor - Denver,1350 S Parker Rd,AllData-UD-d03dcc0072244af1966d924609d33617,Offline,5EEC221F-FCF5-4F3F-85B1-34D56D9D7319,,d03dcc0072244af1966d924609d33617,AllData,UD
C799BC84-7DC3-4A33-BE3C-DA17B9EE6562,Toy Doctor - Denver,1350 S Parker Rd,AllData-UD-df71280c09d5414297f8ac4ee1600dc2,Offline,5EEC221F-FCF5-4F3F-85B1-34D56D9D7319,,df71280c09d5414297f8ac4ee1600dc2,AllData,UD
C7ADF09A-2972-4084-B455-103A91062168,Spencer Auto Repair - Tempe,2650 N Scottsdale Rd,ProtractorNET-MechanicAdvisor-24b57c3c15344a1f8e242964ff83b9db,Active,B890E6E1-C720-4F29-9D52-43CF78CE5475,,24b57c3c15344a1f8e242964ff83b9db,ProtractorNET,MechanicAdvisor
C7ADF09A-2972-4084-B455-103A91062168,Spencer Auto Repair - Tempe,2650 N Scottsdale Rd,ProtractorNET-MechanicAdvisor-af01d412e3fe41c1be49bde7b4e71aff,Active,B890E6E1-C720-4F29-9D52-43CF78CE5475,,af01d412e3fe41c1be49bde7b4e71aff,ProtractorNET,MechanicAdvisor
C7C80620-C24A-42F5-B588-2BDA87FB2136,Inmotion Auto Care,131 Russwood Pkwy,NapaTracs-UD-16704,Offline,3CBBC6EC-B559-4C97-8CBD-CC5E905E81B6,,16704,NapaTracs,UD
C7C80620-C24A-42F5-B588-2BDA87FB2136,Inmotion Auto Care,131 Russwood Pkwy,NapaTracs-UD-7016704,Offline,3CBBC6EC-B559-4C97-8CBD-CC5E905E81B6,,7016704,NapaTracs,UD
C7CBBA7D-429F-4EE2-B7FF-4DD42E5EC7F2,New Bedford Auto Repair,1711 New Bedford Rd,AllData-UD-34826,Active,B9F47F53-9B5F-47B4-922E-F9042B655241,,34826,AllData,UD
C7CBBA7D-429F-4EE2-B7FF-4DD42E5EC7F2,New Bedford Auto Repair,1711 New Bedford Rd,AllData-UD-7034826,Active,B9F47F53-9B5F-47B4-922E-F9042B655241,,7034826,AllData,UD
C7E4E904-C866-4F61-ABFF-D24ABEBABB40,TireCraft Entity,123 Main,VastSQL-OLD-RD-7080801,Active,9E13A6B8-4F63-4AAF-9754-1B8636C607BA,,7080801,VastSQL,OLD-RD
C7E4E904-C866-4F61-ABFF-D24ABEBABB40,TireCraft Entity,123 Main,VastSQL-OLD-RD-80801,Active,9E13A6B8-4F63-4AAF-9754-1B8636C607BA,,80801,VastSQL,OLD-RD
C7FA6E5F-0811-452B-B2A6-82AF6C888A48,Ajs Auto Service & Repair,2089 US Highway 23 S,AllData-UD-59399,Offline,B92CD235-5498-422B-91DE-0C9221A65988,,59399,AllData,UD
C7FA6E5F-0811-452B-B2A6-82AF6C888A48,Ajs Auto Service & Repair,2089 US Highway 23 S,AllData-UD-7059399,Offline,B92CD235-5498-422B-91DE-0C9221A65988,,7059399,AllData,UD
C7FD047E-9256-4F4C-9FDB-571554D7C424,Affordable Complete Car Care,12639A Veterans Memorial Dr,BayMaster-CustomerLink-7081083,Active,FD0A246B-314F-403E-88E7-E621527B398C,,7081083,BayMaster,CustomerLink
C7FD047E-9256-4F4C-9FDB-571554D7C424,Affordable Complete Car Care,12639A Veterans Memorial Dr,BayMaster-CustomerLink-81083,Active,FD0A246B-314F-403E-88E7-E621527B398C,,81083,BayMaster,CustomerLink
C8238381-B1AD-463B-9A4C-1087DAABA679,Garcias Automotive Repair,383 Old Highway 8 NW,Shopware-Carfax-3074-2965,Active,905AD5E0-EA95-47AE-8BDC-7D9721D18E30,3074,2965,Shopware,Carfax
C83B68A5-602C-48DA-84D2-3C15647A2C16,Advanced Automotive,2016 W Adobe Dr,AllData-UD-67200,Offline,C64FF44F-1274-4114-8E7E-010C1B67CA2F,,67200,AllData,UD
C83B68A5-602C-48DA-84D2-3C15647A2C16,Advanced Automotive,2016 W Adobe Dr,AllData-UD-7067200,Offline,C64FF44F-1274-4114-8E7E-010C1B67CA2F,,7067200,AllData,UD
C8549F01-33B8-4C8B-8F8C-731861148566,BSAW Eden Prairie,8100 Flying Cloud Dr,ProtractorNET-ARC-719f841455a34fb8a5ce266c934d687f,Active,F4234F86-DA14-42DC-8392-D272F639A8A4,,719f841455a34fb8a5ce266c934d687f,ProtractorNET,ARC
C8549F01-33B8-4C8B-8F8C-731861148566,BSAW Eden Prairie,8100 Flying Cloud Dr,ProtractorNET-ARC-acd5d9e897ec402f910c7b3513bb687e,Active,F4234F86-DA14-42DC-8392-D272F639A8A4,,acd5d9e897ec402f910c7b3513bb687e,ProtractorNET,ARC
